family,n_images,intra_dist,intra_std,inter_dist,n_species,n_genre,prop_male,view
pellorneidae,235,0.09463272243738174,0.025975100696086884,0.028663992881774902,47,15,0.5191489361702127,Back
petroicidae,170,0.11340651661157608,0.02805938385426998,0.0181083083152771,42,13,0.4823529411764706,Back
peucedramidae,6,0.06309729814529419,0.013853132724761963,0.08374160528182983,1,1,0.5,Back
phaenicophilidae,13,0.07740660756826401,0.015757009387016296,0.10971713066101074,4,3,0.5384615384615384,Back
phaethontidae,16,0.10189031064510345,0.028977271169424057,0.21715021133422852,3,1,0.5625,Back
phalacrocoracidae,123,0.11147996783256531,0.036424003541469574,0.05774509906768799,32,1,0.5365853658536586,Back
phasianidae,337,0.14988946914672852,0.06247934326529503,0.03948783874511719,163,42,0.5044510385756676,Back
philepittidae,20,0.11929573863744736,0.03921689838171005,0.05711078643798828,4,2,0.5,Back
phoenicopteridae,24,0.1267310380935669,0.02540123090147972,0.23955917358398438,6,3,0.5416666666666666,Back
phoeniculidae,45,0.09313417226076126,0.019750749692320824,0.14443469047546387,8,2,0.5111111111111111,Back
phylloscopidae,336,0.08317489922046661,0.024077562615275383,0.02819502353668213,65,2,0.5178571428571429,Back
picathartidae,9,0.06192643195390701,0.013931474648416042,0.12077128887176514,2,1,0.3333333333333333,Back
picidae,1176,0.16642072796821594,0.033656563609838486,0.041145145893096924,212,29,0.5093537414965986,Back
pipridae,215,0.17016951739788055,0.06776180863380432,0.043857693672180176,49,13,0.5348837209302325,Back
pittidae,154,0.14188410341739655,0.03355653956532478,0.08947694301605225,30,1,0.4935064935064935,Back
pityriasidae,6,0.041966427117586136,0.006839866284281015,0.20076978206634521,1,1,0.5,Back
platylophidae,6,0.0669584646821022,0.019442662596702576,0.06766742467880249,1,1,0.5,Back
platysteiridae,151,0.11138898134231567,0.03282216936349869,0.08000433444976807,28,3,0.5033112582781457,Back
ploceidae,575,0.14515681564807892,0.05081698298454285,0.026219546794891357,106,15,0.5113043478260869,Back
pluvianellidae,2,0.024127930402755737,2.9802322387695312e-08,0.10544043779373169,1,1,0.0,Back
pluvianidae,6,0.06983213871717453,0.009195739403367043,0.1721343994140625,1,1,0.5,Back
pnoepygidae,14,0.05606207996606827,0.010723412968218327,0.13097834587097168,3,1,0.5,Back
podargidae,54,0.08478470891714096,0.021993570029735565,0.062428057193756104,13,3,0.5370370370370371,Back
podicipedidae,71,0.099204421043396,0.03624812513589859,0.07323479652404785,18,6,0.5633802816901409,Back
polioptilidae,59,0.10054794698953629,0.02709733322262764,0.04790091514587402,11,3,0.5254237288135594,Back
pomatostomidae,23,0.080713652074337,0.016981806606054306,0.0491563081741333,5,1,0.4782608695652174,Back
procellariidae,281,0.09181664884090424,0.03519057482481003,0.04995846748352051,70,15,0.47686832740213525,Back
promeropidae,11,0.08417916297912598,0.017609145492315292,0.12714248895645142,2,1,0.45454545454545453,Back
prunellidae,69,0.07862221449613571,0.028870902955532074,0.0502280592918396,13,1,0.5072463768115942,Back
psittacidae,1124,0.1522805094718933,0.05080752447247505,0.10495984554290771,267,74,0.5213523131672598,Back
psophiidae,12,0.12816224992275238,0.04998888820409775,0.08643984794616699,3,1,0.4166666666666667,Back
psophodidae,11,0.07845111191272736,0.008343305438756943,0.05699342489242554,3,1,0.36363636363636365,Back
pteroclidae,96,0.09329747408628464,0.022081244736909866,0.1117790937423706,16,2,0.5,Back
ptiliogonidae,24,0.11669055372476578,0.02328377775847912,0.04086041450500488,4,3,0.5,Back
ptilonorhynchidae,76,0.1621110737323761,0.06192441284656525,0.023346304893493652,17,8,0.5131578947368421,Back
pycnonotidae,640,0.0910591408610344,0.027946848422288895,0.030280351638793945,113,20,0.503125,Back
rallidae,483,0.1257588118314743,0.03389403596520424,0.030908823013305664,112,29,0.4927536231884058,Back
ramphastidae,160,0.14697769284248352,0.03189698979258537,0.07370173931121826,34,5,0.54375,Back
recurvirostridae,37,0.14189781248569489,0.024170083925127983,0.09162354469299316,8,2,0.4864864864864865,Back
regulidae,35,0.08187732845544815,0.021716149523854256,0.07688653469085693,6,1,0.5142857142857142,Back
remizidae,58,0.09417595714330673,0.023828232660889626,0.035931944847106934,11,3,0.5689655172413793,Back
rhagologidae,3,0.03719812631607056,0.005970656406134367,0.07463562488555908,1,1,1.0,Back
rhinocryptidae,100,0.0979708656668663,0.027302006259560585,0.027663230895996094,30,12,0.55,Back
rhipiduridae,157,0.10590561479330063,0.028480174019932747,0.033743858337402344,36,1,0.5095541401273885,Back
rhodinocichlidae,4,0.064387246966362,0.016048472374677658,0.04444402456283569,1,1,0.25,Back
rhynochetidae,3,0.038751859217882156,0.0010314040118828416,0.0710904598236084,1,1,0.6666666666666666,Back
rostratulidae,18,0.07818076014518738,0.01480441726744175,0.07264590263366699,3,1,0.5,Back
sagittariidae,6,0.06240449473261833,0.015471285209059715,0.09061384201049805,1,1,0.5,Back
scolopacidae,461,0.09846185147762299,0.028240732848644257,0.08553683757781982,84,22,0.5032537960954447,Back
scopidae,6,0.04429059103131294,0.012973842211067677,0.06446433067321777,1,1,0.5,Back
scotocercidae,171,0.10720247775316238,0.027615947648882866,0.0243341326713562,33,10,0.47953216374269003,Back
semnornithidae,11,0.094919353723526,0.017658861353993416,0.06689375638961792,2,1,0.5454545454545454,Back
sittidae,126,0.10761110484600067,0.04557275399565697,0.059422850608825684,24,3,0.5476190476190477,Back
spheniscidae,66,0.10159188508987427,0.03490699082612991,0.06971091032028198,18,6,0.48484848484848486,Back
spindalidae,23,0.10059492290019989,0.02379346825182438,0.05284905433654785,4,1,0.5217391304347826,Back
steatornithidae,6,0.03653095290064812,0.006177179049700499,0.10437196493148804,1,1,0.5,Back
stenostiridae,51,0.11563699692487717,0.03337382525205612,0.03513908386230469,9,4,0.5294117647058824,Back
stercorariidae,46,0.09048575162887573,0.03840729966759682,0.056974947452545166,8,2,0.4782608695652174,Back
