family,n_images,intra_dist,intra_std,inter_dist,n_species,n_genre,prop_male,view
trochilidae,1382,0.17535808682441711,0.04208644852042198,0.05813664197921753,301,102,0.5260492040520984,Belly
troglodytidae,273,0.12896089255809784,0.03600063920021057,0.0288240909576416,70,16,0.5421245421245421,Belly
trogonidae,198,0.15961836278438568,0.0282837375998497,0.1507779359817505,37,6,0.5202020202020202,Belly
turdidae,684,0.13791587948799133,0.03955543786287308,0.012617230415344238,136,17,0.5116959064327485,Belly
turnicidae,74,0.09924729913473129,0.03158450126647949,0.06178760528564453,14,2,0.4864864864864865,Belly
tyrannidae,1421,0.13065332174301147,0.04486941546201706,0.015177369117736816,341,93,0.5369458128078818,Belly
tytonidae,31,0.10846865922212601,0.027215052396059036,0.06685006618499756,9,2,0.45161290322580644,Belly
upupidae,6,0.06381925940513611,0.02535494789481163,0.1092379093170166,1,1,0.5,Belly
urocynchramidae,4,0.054354339838027954,0.018596552312374115,0.12142157554626465,1,1,0.75,Belly
vangidae,183,0.14663632214069366,0.04228454828262329,0.024431884288787842,34,21,0.5081967213114754,Belly
viduidae,74,0.175334632396698,0.06091354414820671,0.02948153018951416,17,2,0.6621621621621622,Belly
vireonidae,224,0.1092601865530014,0.03220019489526749,0.03840601444244385,51,6,0.47767857142857145,Belly
zeledoniidae,6,0.052914828062057495,0.010875320993363857,0.10786294937133789,1,1,0.5,Belly
zosteropidae,351,0.11140669137239456,0.02811230532824993,0.04392540454864502,84,11,0.5327635327635327,Belly
