val_family,n_val,nearest_train_family,min_dist_to_train,dist_to_train_global,label_entropy,view,fold
pityriasidae,6,eurylaimidae,0.16974639892578125,0.22905051708221436,0.15139548385216103,Belly,0
phoenicopteridae,24,recurvirostridae,0.1363203525543213,0.18394780158996582,0.2178923717790347,Belly,0
eupetidae,6,galbulidae,0.12168407440185547,0.14152830839157104,-0.0,Belly,0
sapayoidae,1,ptiliogonidae,0.11353719234466553,0.13691073656082153,0.03562690342106511,Belly,0
coraciidae,65,sturnidae,0.10333120822906494,0.1298828125,0.5660177057270377,Belly,0
orthonychidae,9,paridae,0.08885180950164795,0.09805291891098022,0.021922736897440353,Belly,0
cariamidae,5,gruidae,0.08722656965255737,0.12303799390792847,0.30309032850224166,Belly,0
phaethontidae,16,sulidae,0.08129554986953735,0.1766974925994873,0.021016944912793344,Belly,0
pnoepygidae,14,grallariidae,0.08018004894256592,0.14182829856872559,0.19869001388571225,Belly,0
irenidae,12,dicruridae,0.07976138591766357,0.16662359237670898,-0.0,Belly,0
phoeniculidae,45,dicruridae,0.07879209518432617,0.18819624185562134,0.502344402470806,Belly,0
aramidae,3,scopidae,0.076698899269104,0.11737680435180664,0.46346712271710633,Belly,0
platysteiridae,151,petroicidae,0.0748528242111206,0.09243762493133545,0.5029268424481768,Belly,0
chionidae,6,recurvirostridae,0.07295835018157959,0.1670069694519043,-0.0,Belly,0
rhodinocichlidae,4,cardinalidae,0.07153165340423584,0.09384280443191528,0.39232250114501355,Belly,0
chaetopidae,9,melanopareiidae,0.07092177867889404,0.08743894100189209,0.27643459094367495,Belly,0
musophagidae,128,cuculidae,0.07042336463928223,0.1037907600402832,0.48996639619475224,Belly,0
hemiprocnidae,24,hirundinidae,0.06903022527694702,0.10864889621734619,0.12532103475337328,Belly,0
hypocoliidae,6,indicatoridae,0.06742095947265625,0.07770836353302002,0.16499401989203172,Belly,0
nicatoridae,18,vireonidae,0.06662958860397339,0.08778589963912964,0.34197654530499527,Belly,0
rhagologidae,3,turdidae,0.06533950567245483,0.07807385921478271,0.15497495379175916,Belly,0
calyptophilidae,3,pellorneidae,0.06430721282958984,0.07077187299728394,0.1449605560556627,Belly,0
ifritidae,6,ptilonorhynchidae,0.06273937225341797,0.1013752818107605,-0.0,Belly,0
cathartidae,23,megapodiidae,0.06216782331466675,0.08168929815292358,0.6581048254761211,Belly,0
machaerirhynchidae,12,parulidae,0.06197613477706909,0.17478233575820923,0.13289176949429773,Belly,0
buphagidae,12,leiothrichidae,0.06113553047180176,0.0669451355934143,0.27804524290148275,Belly,0
sagittariidae,6,otididae,0.06091439723968506,0.0966082215309143,0.5158769720855539,Belly,0
steatornithidae,6,podargidae,0.06041908264160156,0.14884090423583984,-0.0,Belly,0
mesitornithidae,9,brachypteraciidae,0.06034672260284424,0.07502108812332153,0.2981559919663222,Belly,0
bombycillidae,18,estrildidae,0.05924785137176514,0.06715971231460571,0.18306619732599066,Belly,0
gaviidae,21,alcidae,0.058822035789489746,0.1496768593788147,0.10251194034822506,Belly,0
thinocoridae,20,alaudidae,0.05800282955169678,0.07474678754806519,0.10658554978929312,Belly,0
jacanidae,46,rallidae,0.05647897720336914,0.06303489208221436,0.1439369231857393,Belly,0
burhinidae,40,alaudidae,0.05535018444061279,0.07093673944473267,0.6968464666206929,Belly,0
platylophidae,6,lamproliidae,0.05424392223358154,0.13947153091430664,0.1343812764209776,Belly,0
panuridae,6,sittidae,0.05284637212753296,0.08556437492370605,-0.0,Belly,0
peucedramidae,6,pardalotidae,0.052114009857177734,0.0839301347732544,-0.0,Belly,0
elanidae,30,procellariidae,0.05052363872528076,0.07712256908416748,0.7112230277798004,Belly,0
strigopidae,14,cotingidae,0.04931962490081787,0.06870138645172119,0.27800323455183623,Belly,0
pittidae,154,estrildidae,0.04907900094985962,0.07902604341506958,0.20892078437826017,Belly,0
cinclidae,26,rallidae,0.049030423164367676,0.07409000396728516,0.1667452346296823,Belly,0
apodidae,375,hirundinidae,0.04684978723526001,0.09101712703704834,0.5382822167770505,Belly,0
spheniscidae,66,diomedeidae,0.04579627513885498,0.10774022340774536,0.20081724941507637,Belly,0
meropidae,150,momotidae,0.04544484615325928,0.13537830114364624,0.6973460541855797,Belly,0
cracidae,78,paradisaeidae,0.04445648193359375,0.05229830741882324,0.28190944062103357,Belly,0
laridae,458,procellariidae,0.04443717002868652,0.10443949699401855,0.48711663582503334,Belly,0
scolopacidae,461,alaudidae,0.04297363758087158,0.05691969394683838,0.656510004546493,Belly,0
glareolidae,96,muscicapidae,0.04292583465576172,0.04473590850830078,0.8310065859924729,Belly,0
teretistridae,8,parulidae,0.0416567325592041,0.12190520763397217,0.1774429621234167,Belly,0
threskiornithidae,129,otididae,0.041355013847351074,0.03553760051727295,0.6568495956009427,Belly,0
charadriidae,350,haematopodidae,0.04100769758224487,0.05792832374572754,0.7376952989514775,Belly,0
anatidae,297,podicipedidae,0.039647459983825684,0.07535141706466675,0.5545344492502973,Belly,0
acanthisittidae,8,scotocercidae,0.036199986934661865,0.0705675482749939,0.4439775995087545,Belly,0
aegothelidae,20,podargidae,0.035376548767089844,0.06293916702270508,0.08480752969334472,Belly,0
lybiidae,245,dicaeidae,0.03426390886306763,0.03351175785064697,0.5338198355258666,Belly,0
stenostiridae,51,monarchidae,0.03411746025085449,0.042054831981658936,0.4256080881029663,Belly,0
columbidae,1250,cotingidae,0.030978024005889893,0.02285093069076538,0.4652203013325646,Belly,0
oreoicidae,11,scotocercidae,0.02913510799407959,0.03784447908401489,0.508178769250761,Belly,0
laniidae,175,mimidae,0.027904272079467773,0.04231494665145874,0.6822868392861008,Belly,0
campephagidae,359,monarchidae,0.026888370513916016,0.028137028217315674,0.37832152227629035,Belly,0
rhinocryptidae,100,thamnophilidae,0.026684880256652832,0.04427635669708252,0.43744311418285775,Belly,0
spindalidae,23,parulidae,0.025254905223846436,0.07882064580917358,0.37793645955315813,Belly,0
odontophoridae,53,phasianidae,0.024537324905395508,0.06198561191558838,0.5197918496562761,Belly,0
bernieridae,40,tyrannidae,0.024036645889282227,0.044919371604919434,0.02590398411452528,Belly,0
certhiidae,37,sylviidae,0.0230104923248291,0.03152358531951904,0.23767879790521176,Belly,0
corvidae,566,sturnidae,0.02298712730407715,0.0523219108581543,0.6312956254918843,Belly,0
calcariidae,29,sylviidae,0.022183120250701904,0.029888570308685303,0.11820433739702854,Belly,0
vangidae,183,muscicapidae,0.022140145301818848,0.021553516387939453,0.2837961735099846,Belly,0
regulidae,35,phylloscopidae,0.016647815704345703,0.03708857297897339,0.30305267731285296,Belly,0
acrocephalidae,207,cisticolidae,0.01576685905456543,0.034154295921325684,0.6728890452262976,Belly,0
nectariniidae,680,thraupidae,0.015306532382965088,0.032807111740112305,0.5435972346051038,Belly,0
rhipiduridae,157,monarchidae,0.015275180339813232,0.024034976959228516,0.2653278931107839,Belly,0
meliphagidae,699,muscicapidae,0.014224112033843994,0.008248984813690186,0.48150199450855236,Belly,0
passerellidae,533,sylviidae,0.01406562328338623,0.018009960651397705,0.6466370159890548,Belly,0
locustellidae,197,paradoxornithidae,0.013885319232940674,0.02593386173248291,0.6892113746773313,Belly,0
pycnonotidae,640,tyrannidae,0.01379483938217163,0.02757948637008667,0.39252177000688965,Belly,0
timaliidae,273,paradoxornithidae,0.012798130512237549,0.020800471305847168,0.1902740394828115,Belly,0
passeridae,226,sylviidae,0.012600839138031006,0.03138017654418945,0.831855915989349,Belly,0
fringillidae,947,thraupidae,0.012474000453948975,0.030736267566680908,0.6558130285624325,Belly,0
tityridae,195,tyrannidae,0.01140737533569336,0.012925803661346436,0.17587622392208058,Belly,0
