val_family,n_val,nearest_train_family,min_dist_to_train,dist_to_train_global,label_entropy,view,fold
phoenicopteridae,24,sulidae,0.1601731777191162,0.23778223991394043,0.2178923717790347,Back,0
pityriasidae,6,picidae,0.14883017539978027,0.20269018411636353,0.15139548385216103,Back,0
chionidae,6,sulidae,0.14406931400299072,0.2757638096809387,-0.0,Back,0
phaethontidae,16,sulidae,0.1064348816871643,0.21191686391830444,0.021016944912793344,Back,0
ifritidae,6,alcedinidae,0.10434651374816895,0.11324852705001831,-0.0,Back,0
gaviidae,21,phalacrocoracidae,0.09328913688659668,0.12082016468048096,0.10251194034822506,Back,0
irenidae,12,alcedinidae,0.0908055305480957,0.14975965023040771,-0.0,Back,0
cariamidae,5,sylviidae,0.08405804634094238,0.08389711380004883,0.30309032850224166,Back,0
chaetopidae,9,maluridae,0.08018147945404053,0.09239453077316284,0.27643459094367495,Back,0
sapayoidae,1,mitrospingidae,0.07797729969024658,0.11153298616409302,0.03562690342106511,Back,0
sagittariidae,6,recurvirostridae,0.07794821262359619,0.08342128992080688,0.5158769720855539,Back,0
hypocoliidae,6,sylviidae,0.07589775323867798,0.11138755083084106,0.16499401989203172,Back,0
eupetidae,6,cinclosomatidae,0.07484889030456543,0.11168843507766724,-0.0,Back,0
aramidae,3,heliornithidae,0.07331430912017822,0.09268558025360107,0.46346712271710633,Back,0
bombycillidae,18,estrildidae,0.07085800170898438,0.08889943361282349,0.18306619732599066,Back,0
panuridae,6,paradoxornithidae,0.0658336877822876,0.11452054977416992,-0.0,Back,0
jacanidae,46,estrildidae,0.0631709098815918,0.05782961845397949,0.1439369231857393,Back,0
nicatoridae,18,vireonidae,0.06232184171676636,0.07895827293395996,0.34197654530499527,Back,0
phoeniculidae,45,dicruridae,0.06149935722351074,0.14735007286071777,0.502344402470806,Back,0
laridae,458,sulidae,0.06134909391403198,0.11072880029678345,0.48711663582503334,Back,0
machaerirhynchidae,12,icteridae,0.06041240692138672,0.08273082971572876,0.13289176949429773,Back,0
coraciidae,65,alcedinidae,0.06000542640686035,0.08812642097473145,0.5660177057270377,Back,0
buphagidae,12,sylviidae,0.0594029426574707,0.07906222343444824,0.27804524290148275,Back,0
rhagologidae,3,pachycephalidae,0.05861961841583252,0.07476580142974854,0.15497495379175916,Back,0
musophagidae,128,trogonidae,0.05626237392425537,0.10450077056884766,0.48996639619475224,Back,0
peucedramidae,6,parulidae,0.05566483736038208,0.0869894027709961,-0.0,Back,0
hemiprocnidae,24,monarchidae,0.05494207143783569,0.07158231735229492,0.12532103475337328,Back,0
calyptophilidae,3,pachycephalidae,0.05342423915863037,0.07878351211547852,0.1449605560556627,Back,0
strigopidae,14,phasianidae,0.05339163541793823,0.06518477201461792,0.27800323455183623,Back,0
platylophidae,6,sturnidae,0.052347660064697266,0.06429338455200195,0.1343812764209776,Back,0
acanthisittidae,8,melanocharitidae,0.05233430862426758,0.0981372594833374,0.4439775995087545,Back,0
pnoepygidae,14,grallariidae,0.051970601081848145,0.12815594673156738,0.19869001388571225,Back,0
spheniscidae,66,alcidae,0.05133789777755737,0.06416261196136475,0.20081724941507637,Back,0
