val_family,n_val,nearest_train_family,min_dist_to_train,dist_to_train_global,label_entropy,view,fold
turdidae,684,tityridae,0.015287518501281738,0.014512121677398682,0.44281463769259105,Side,1
cotingidae,251,tityridae,0.01448202133178711,0.012040197849273682,0.16542006592507064,Side,1
thraupidae,1440,tityridae,0.01419687271118164,0.01460355520248413,0.5573484599976786,Side,1
ploceidae,575,fringillidae,0.012153565883636475,0.036476850509643555,0.7191922817743508,Side,1
vireonidae,224,zosteropidae,0.011557161808013916,0.04145234823226929,0.3091216011488874,Side,1
cisticolidae,767,scotocercidae,0.01127004623413086,0.02023458480834961,0.6796010132408522,Side,1
leiothrichidae,726,timaliidae,0.011039137840270996,0.012069284915924072,0.46965057717424,Side,1
pachycephalidae,143,meliphagidae,0.009843587875366211,0.018244385719299316,0.22839416052541583,Side,1
muscicapidae,1512,tityridae,0.009319663047790527,0.011526346206665039,0.6679994004991637,Side,1
tyrannidae,1421,tityridae,0.00840836763381958,0.015509843826293945,0.6055243495280864,Side,1
