val_family,n_val,nearest_train_family,min_dist_to_train,dist_to_train_global,label_entropy,view,fold
eurypygidae,6,otididae,0.1737383008003235,0.20683860778808594,0.10445177565241023,Back,1
upupidae,6,passeridae,0.1473853588104248,0.1816311478614807,0.26872502821867966,Back,1
coliidae,36,hypocoliidae,0.13188350200653076,0.1810765266418457,0.5135684916766509,Back,1
anseranatidae,2,ciconiidae,0.11196696758270264,0.1623956561088562,0.29789552722260526,Back,1
promeropidae,11,cracidae,0.09849858283996582,0.12727653980255127,0.30069808858322594,Back,1
apterygidae,8,tinamidae,0.08951711654663086,0.1454371213912964,0.23819098598509203,Back,1
opisthocomidae,5,rhipiduridae,0.08539807796478271,0.08649909496307373,0.14402294444481664,Back,1
dromadidae,6,recurvirostridae,0.08440542221069336,0.1877741813659668,0.2681729619537867,Back,1
anhingidae,22,bucerotidae,0.07713872194290161,0.12006092071533203,0.3723210514720338,Back,1
anhimidae,6,procellariidae,0.07357370853424072,0.09920644760131836,0.450068469051779,Back,1
neosittidae,8,procellariidae,0.06925028562545776,0.10504084825515747,0.143149419062765,Back,1
pluvianellidae,2,glareolidae,0.06724965572357178,0.10099118947982788,0.292108256947341,Back,1
ibidorhynchidae,6,sulidae,0.06503534317016602,0.10900366306304932,-0.0,Back,1
phaenicophilidae,13,falcunculidae,0.0631105899810791,0.1127731204032898,0.3048478586049238,Back,1
pardalotidae,19,fringillidae,0.061867594718933105,0.08926475048065186,0.5638953871619563,Back,1
rhynochetidae,3,charadriidae,0.06178867816925049,0.06732159852981567,0.011325458964684213,Back,1
rostratulidae,18,odontophoridae,0.05732029676437378,0.0736229419708252,0.3112803729999893,Back,1
scopidae,6,rallidae,0.05706292390823364,0.0619586706161499,0.292108256947341,Back,1
trochilidae,1382,nectariniidae,0.056784749031066895,0.09901416301727295,0.4791025324403675,Back,1
todidae,22,chloropseidae,0.05623066425323486,0.1684192419052124,0.3583542278037072,Back,1
ramphastidae,160,malaconotidae,0.05575096607208252,0.07727622985839844,0.20084744827889908,Back,1
fregatidae,18,monarchidae,0.054731011390686035,0.06536209583282471,0.1260205210426114,Back,1
podicipedidae,71,anatidae,0.05461466312408447,0.06843686103820801,0.06065146329783337,Back,1
notiomystidae,5,thamnophilidae,0.05270892381668091,0.05865508317947388,-0.0,Back,1
calyptomenidae,25,nectariniidae,0.052021920680999756,0.06831848621368408,0.13345675679411323,Back,1
hylocitreidae,3,pycnonotidae,0.05123716592788696,0.07931792736053467,-0.0,Back,1
urocynchramidae,4,alaudidae,0.050258636474609375,0.13848960399627686,0.2894394229373459,Back,1
oceanitidae,39,procellariidae,0.04799818992614746,0.06801700592041016,0.01191268588182146,Back,1
lamproliidae,12,vangidae,0.047313690185546875,0.07312369346618652,0.19415444656528194,Back,1
menuridae,6,rhipiduridae,0.045865774154663086,0.07332086563110352,0.07522206552807953,Back,1
trogonidae,198,brachypteraciidae,0.04493677616119385,0.04899799823760986,0.1688564930335985,Back,1
cacatuidae,61,threskiornithidae,0.044650912284851074,0.05973613262176514,0.554718445960513,Back,1
dasyornithidae,4,locustellidae,0.04290139675140381,0.0816044807434082,0.47204445410660784,Back,1
heliornithidae,17,furnariidae,0.042482614517211914,0.04293793439865112,0.43061977955601505,Back,1
phalacrocoracidae,123,cracidae,0.04218178987503052,0.05446064472198486,0.4800130490445996,Back,1
nesospingidae,2,locustellidae,0.041278183460235596,0.05702298879623413,0.2468352065507732,Back,1
semnornithidae,11,spindalidae,0.04066359996795654,0.06702792644500732,0.041807268742155373,Back,1
melanopareiidae,8,malaconotidae,0.04041010141372681,0.052380919456481934,0.5476644027055538,Back,1
haematopodidae,45,procellariidae,0.03990215063095093,0.0451509952545166,0.5056208082904288,Back,1
sittidae,126,polioptilidae,0.03906959295272827,0.05740225315093994,0.29493484864753633,Back,1
hyliotidae,20,platysteiridae,0.038982272148132324,0.06120187044143677,0.39215520718273256,Back,1
picidae,1176,lybiidae,0.03624159097671509,0.04390817880630493,0.47604501260411497,Back,1
falconidae,308,vangidae,0.03454822301864624,0.0278780460357666,0.7473957070274365,Back,1
tytonidae,31,strigidae,0.03434896469116211,0.10121053457260132,0.6517506201719074,Back,1
psittacidae,1124,megalaimidae,0.03351104259490967,0.11349749565124512,0.47253164793538244,Back,1
cuculidae,676,corvidae,0.03330230712890625,0.04705989360809326,0.5007651997320275,Back,1
turnicidae,74,odontophoridae,0.032640695571899414,0.10676074028015137,0.6521489734988906,Back,1
hydrobatidae,62,procellariidae,0.031600117683410645,0.03674042224884033,0.0028443560136886,Back,1
hirundinidae,399,viduidae,0.030630409717559814,0.04722607135772705,0.7714318153081724,Back,1
megapodiidae,34,rallidae,0.030351877212524414,0.046452343463897705,0.2627420363055341,Back,1
maluridae,86,monarchidae,0.030060946941375732,0.036421895027160645,0.6682015725856059,Back,1
accipitridae,898,procellariidae,0.03005903959274292,0.03373587131500244,0.6821546537951381,Back,1
pipridae,215,dicaeidae,0.02939629554748535,0.045056045055389404,0.10355314167959738,Back,1
capitonidae,40,lybiidae,0.028570115566253662,0.049722135066986084,0.06298163954576705,Back,1
