val_family,n_val,nearest_train_family,min_dist_to_train,dist_to_train_global,label_entropy,view,fold
todidae,22,pittidae,0.12499892711639404,0.18520963191986084,0.3583542278037072,Belly,1
coliidae,36,bucerotidae,0.121543288230896,0.19961440563201904,0.5135684916766509,Belly,1
apterygidae,8,rhinocryptidae,0.11314588785171509,0.14264261722564697,0.23819098598509203,Belly,1
trogonidae,198,galbulidae,0.1131104826927185,0.15375512838363647,0.1688564930335985,Belly,1
anseranatidae,2,charadriidae,0.11183220148086548,0.1395595669746399,0.29789552722260526,Belly,1
promeropidae,11,musophagidae,0.10313558578491211,0.13191866874694824,0.30069808858322594,Belly,1
semnornithidae,11,nectariniidae,0.09713625907897949,0.15894091129302979,0.041807268742155373,Belly,1
eurypygidae,6,ardeidae,0.09615355730056763,0.12506794929504395,0.10445177565241023,Belly,1
neosittidae,8,climacteridae,0.0848851203918457,0.1115160584449768,0.143149419062765,Belly,1
upupidae,6,vangidae,0.08340829610824585,0.10645937919616699,0.26872502821867966,Belly,1
opisthocomidae,5,galbulidae,0.08088964223861694,0.10509330034255981,0.14402294444481664,Belly,1
hylocitreidae,3,meliphagidae,0.07963120937347412,0.08323287963867188,-0.0,Belly,1
ramphastidae,160,icteridae,0.07481372356414795,0.10373973846435547,0.20084744827889908,Belly,1
ibidorhynchidae,6,charadriidae,0.07320261001586914,0.14748096466064453,-0.0,Belly,1
pluvianellidae,2,charadriidae,0.07290637493133545,0.11014962196350098,0.292108256947341,Belly,1
urocynchramidae,4,prunellidae,0.07001149654388428,0.12366020679473877,0.2894394229373459,Belly,1
fregatidae,18,apodidae,0.06975865364074707,0.11108672618865967,0.1260205210426114,Belly,1
menuridae,6,cracidae,0.06931817531585693,0.09540915489196777,0.07522206552807953,Belly,1
anhimidae,6,otididae,0.06878244876861572,0.08248627185821533,0.450068469051779,Belly,1
nesospingidae,2,acanthizidae,0.06437331438064575,0.09704804420471191,0.2468352065507732,Belly,1
calyptomenidae,25,megalaimidae,0.06430208683013916,0.08171069622039795,0.13345675679411323,Belly,1
hydrobatidae,62,stercorariidae,0.063545823097229,0.07772022485733032,0.0028443560136886,Belly,1
melanopareiidae,8,alcedinidae,0.06267857551574707,0.07939255237579346,0.5476644027055538,Belly,1
rhynochetidae,3,glareolidae,0.06040942668914795,0.06407749652862549,0.011325458964684213,Belly,1
trochilidae,1382,galbulidae,0.06027531623840332,0.06348311901092529,0.4791025324403675,Belly,1
heliornithidae,17,laniidae,0.05936872959136963,0.08781611919403076,0.43061977955601505,Belly,1
scopidae,6,threskiornithidae,0.0571824312210083,0.09261780977249146,0.292108256947341,Belly,1
megapodiidae,34,rallidae,0.055860936641693115,0.06948530673980713,0.2627420363055341,Belly,1
cacatuidae,61,campephagidae,0.05454474687576294,0.06716465950012207,0.554718445960513,Belly,1
psittacidae,1124,chloropseidae,0.05443328619003296,0.13333207368850708,0.47253164793538244,Belly,1
lamproliidae,12,platylophidae,0.05424392223358154,0.10825061798095703,0.19415444656528194,Belly,1
dromadidae,6,recurvirostridae,0.05352520942687988,0.1588703989982605,0.2681729619537867,Belly,1
oceanitidae,39,charadriidae,0.05317533016204834,0.060510456562042236,0.01191268588182146,Belly,1
caprimulgidae,339,podargidae,0.051442503929138184,0.09182965755462646,0.7116804018879469,Belly,1
capitonidae,40,spindalidae,0.0511091947555542,0.10140359401702881,0.06298163954576705,Belly,1
phalacrocoracidae,123,corvidae,0.048213839530944824,0.06975281238555908,0.4800130490445996,Belly,1
tytonidae,31,alaudidae,0.04820835590362549,0.06719392538070679,0.6517506201719074,Belly,1
notiomystidae,5,prunellidae,0.04807227849960327,0.05670154094696045,-0.0,Belly,1
anhingidae,22,bucerotidae,0.046580612659454346,0.10510104894638062,0.3723210514720338,Belly,1
rostratulidae,18,charadriidae,0.04427635669708252,0.06849479675292969,0.3112803729999893,Belly,1
dasyornithidae,4,locustellidae,0.04136967658996582,0.06219357252120972,0.47204445410660784,Belly,1
haematopodidae,45,charadriidae,0.04100769758224487,0.050518929958343506,0.5056208082904288,Belly,1
hyliotidae,20,remizidae,0.040628254413604736,0.06593859195709229,0.39215520718273256,Belly,1
podicipedidae,71,anatidae,0.039647459983825684,0.09490877389907837,0.06065146329783337,Belly,1
phaenicophilidae,13,polioptilidae,0.03844654560089111,0.0698779821395874,0.3048478586049238,Belly,1
accipitridae,898,meliphagidae,0.03768366575241089,0.03149527311325073,0.6821546537951381,Belly,1
cuculidae,676,bucerotidae,0.03691047430038452,0.07334160804748535,0.5007651997320275,Belly,1
falconidae,308,meliphagidae,0.03487849235534668,0.02789074182510376,0.7473957070274365,Belly,1
bucconidae,124,timaliidae,0.03446662425994873,0.025270700454711914,0.2905253779544543,Belly,1
hirundinidae,399,rhipiduridae,0.034005820751190186,0.04164695739746094,0.7714318153081724,Belly,1
picidae,1176,meliphagidae,0.03390228748321533,0.032557129859924316,0.47604501260411497,Belly,1
paradisaeidae,194,corvidae,0.03364086151123047,0.04863131046295166,0.09238550922458795,Belly,1
turnicidae,74,alaudidae,0.03273642063140869,0.062275588512420654,0.6521489734988906,Belly,1
conopophagidae,33,thamnophilidae,0.029493331909179688,0.06421881914138794,0.06754420989233573,Belly,1
pardalotidae,19,zosteropidae,0.02776944637298584,0.07573747634887695,0.5638953871619563,Belly,1
paridae,293,aegithalidae,0.026319026947021484,0.02222144603729248,0.590004101676335,Belly,1
mimidae,170,meliphagidae,0.02505439519882202,0.022710323333740234,0.5324480938787894,Belly,1
phasianidae,337,odontophoridae,0.024537324905395508,0.03610062599182129,0.6311290711586216,Belly,1
artamidae,104,vangidae,0.023907124996185303,0.03174489736557007,0.578379014202592,Belly,1
sturnidae,550,corvidae,0.02298712730407715,0.03324711322784424,0.6163607206167143,Belly,1
cotingidae,251,meliphagidae,0.0217551589012146,0.018254458904266357,0.16542006592507064,Belly,1
petroicidae,170,acanthizidae,0.02129042148590088,0.02837979793548584,0.36044389493557416,Belly,1
ptilonorhynchidae,76,tityridae,0.020316123962402344,0.027499675750732422,0.37642981955368554,Belly,1
maluridae,86,paradoxornithidae,0.020199596881866455,0.025663316249847412,0.6682015725856059,Belly,1
cardinalidae,238,fringillidae,0.019178152084350586,0.048703551292419434,0.4107412346091128,Belly,1
pipridae,215,nectariniidae,0.0180322527885437,0.0376514196395874,0.10355314167959738,Belly,1
sittidae,126,aegithalidae,0.01766681671142578,0.028375446796417236,0.29493484864753633,Belly,1
