val_family,n_val,nearest_train_family,min_dist_to_train,dist_to_train_global,label_entropy,view,fold
dulidae,6,phasianidae,0.12209457159042358,0.14152562618255615,0.28145039389705606,Belly,2
balaenicipitidae,2,threskiornithidae,0.12108045816421509,0.15546655654907227,0.27752525407399425,Belly,2
pelecanidae,41,threskiornithidae,0.08841657638549805,0.11361813545227051,0.5481199807785241,Belly,2
paramythiidae,11,spindalidae,0.08729714155197144,0.1491537094116211,0.09528266243912405,Belly,2
pluvianidae,6,charadriidae,0.0839051604270935,0.11753880977630615,0.0701538040281851,Belly,2
falcunculidae,6,machaerirhynchidae,0.08383536338806152,0.16051971912384033,0.3639507481246274,Belly,2
numididae,11,megapodiidae,0.0820874571800232,0.1110573410987854,0.44405182056204534,Belly,2
picathartidae,9,heliornithidae,0.07847177982330322,0.12280142307281494,0.05682083281617824,Belly,2
donacobiidae,6,leiothrichidae,0.07794159650802612,0.0876309871673584,0.2795349771249605,Belly,2
melampittidae,6,lamproliidae,0.07762551307678223,0.17802155017852783,0.060867344104051424,Belly,2
callaeidae,3,lamproliidae,0.07364761829376221,0.16483235359191895,0.008869563399120262,Belly,2
leptosomidae,6,cuculidae,0.0699777603149414,0.10561978816986084,0.1515777829623566,Belly,2
megalaimidae,154,calyptomenidae,0.06430208683013916,0.13183152675628662,0.24402785200730526,Belly,2
psophiidae,12,lamproliidae,0.06399279832839966,0.12549042701721191,-0.0,Belly,2
atrichornithidae,4,leiothrichidae,0.06370240449905396,0.07772064208984375,0.270743833235469,Belly,2
aegithinidae,24,machaerirhynchidae,0.06362855434417725,0.18742352724075317,0.3384557622201387,Belly,2
eurylaimidae,44,thraupidae,0.05824685096740723,0.06768035888671875,0.1759409985402537,Belly,2
nyctibiidae,15,caprimulgidae,0.056181252002716064,0.13409799337387085,0.22248258302468638,Belly,2
gruidae,50,threskiornithidae,0.055819928646087646,0.07898974418640137,0.6327016588574512,Belly,2
eulacestomatidae,3,pipridae,0.05570542812347412,0.09712696075439453,0.04257784590807542,Belly,2
zeledoniidae,6,rhinocryptidae,0.054702699184417725,0.11044692993164062,-0.0,Belly,2
chloropseidae,44,psittacidae,0.05443328619003296,0.17561501264572144,0.24532679453867315,Belly,2
