val_family,n_val,nearest_train_family,min_dist_to_train,dist_to_train_global,label_entropy,view,fold
pluvianidae,6,sittidae,0.1251744031906128,0.166456937789917,0.0701538040281851,Side,2
callaeidae,3,paradisaeidae,0.09603369235992432,0.11717045307159424,0.008869563399120262,Side,2
picathartidae,9,vangidae,0.09467601776123047,0.13358163833618164,0.05682083281617824,Side,2
numididae,11,megapodiidae,0.08820134401321411,0.10156643390655518,0.44405182056204534,Side,2
donacobiidae,6,laniidae,0.08374577760696411,0.09450721740722656,0.2795349771249605,Side,2
balaenicipitidae,2,accipitridae,0.08171868324279785,0.12244784832000732,0.27752525407399425,Side,2
pelecanidae,41,threskiornithidae,0.07834941148757935,0.13336682319641113,0.5481199807785241,Side,2
leptosomidae,6,campephagidae,0.07588720321655273,0.06999039649963379,0.1515777829623566,Side,2
melampittidae,6,lamproliidae,0.07242631912231445,0.13736218214035034,0.060867344104051424,Side,2
brachypteraciidae,27,leiothrichidae,0.07231175899505615,0.06941205263137817,0.22810284174660395,Side,2
paramythiidae,11,thraupidae,0.07102787494659424,0.11781066656112671,0.09528266243912405,Side,2
aegithinidae,24,ploceidae,0.0675811767578125,0.13386106491088867,0.3384557622201387,Side,2
psophiidae,12,megapodiidae,0.06676000356674194,0.08683955669403076,-0.0,Side,2
alcedinidae,436,maluridae,0.06301701068878174,0.06964766979217529,0.487728372690054,Side,2
eurylaimidae,44,cotingidae,0.0616455078125,0.07064002752304077,0.1759409985402537,Side,2
falcunculidae,6,spindalidae,0.060972630977630615,0.10639989376068115,0.3639507481246274,Side,2
eulacestomatidae,3,vireonidae,0.05836904048919678,0.10190409421920776,0.04257784590807542,Side,2
diomedeidae,54,haematopodidae,0.05827224254608154,0.08706223964691162,0.0072652616218541605,Side,2
zeledoniidae,6,rhinocryptidae,0.05622506141662598,0.09315836429595947,-0.0,Side,2
dulidae,6,turdidae,0.056110262870788574,0.06044578552246094,0.28145039389705606,Side,2
recurvirostridae,37,laridae,0.05336952209472656,0.09655439853668213,0.3547945050877348,Side,2
chloropseidae,44,psittacidae,0.051664113998413086,0.16513299942016602,0.24532679453867315,Side,2
alcidae,101,haematopodidae,0.05010652542114258,0.09991943836212158,0.07792624854823596,Side,2
pteroclidae,96,turnicidae,0.047965288162231445,0.08876270055770874,0.6250297225899466,Side,2
sulidae,41,threskiornithidae,0.04648888111114502,0.0952765941619873,0.12570061297635288,Side,2
otididae,98,burhinidae,0.04481595754623413,0.07482433319091797,0.6556156905280965,Side,2
pandionidae,6,accipitridae,0.04372924566268921,0.08328568935394287,0.43036535636663686,Side,2
corcoracidae,12,apodidae,0.0416179895401001,0.05755019187927246,0.5794239302897328,Side,2
gruidae,50,threskiornithidae,0.04059720039367676,0.0829460620880127,0.6327016588574512,Side,2
cnemophilidae,14,cardinalidae,0.0404512882232666,0.05410003662109375,0.0685885759674664,Side,2
psophodidae,11,rhipiduridae,0.03998434543609619,0.046184659004211426,0.4269632873463649,Side,2
galbulidae,74,trochilidae,0.03968310356140137,0.07819116115570068,0.2768254248040174,Side,2
rallidae,483,rhinocryptidae,0.03803819417953491,0.04220080375671387,0.6642700722377342,Side,2
procellariidae,281,haematopodidae,0.038013458251953125,0.049118876457214355,0.06557978465460099,Side,2
stercorariidae,46,accipitridae,0.03765958547592163,0.04172563552856445,0.39466257215957923,Side,2
cinclosomatidae,40,leiothrichidae,0.03634500503540039,0.03854048252105713,0.4432764557024715,Side,2
atrichornithidae,4,leiothrichidae,0.03597843647003174,0.053824663162231445,0.270743833235469,Side,2
bucerotidae,235,anhingidae,0.03585410118103027,0.08029860258102417,0.38441157761014305,Side,2
dicruridae,115,sturnidae,0.03584742546081543,0.08561599254608154,0.40655965843236613,Side,2
megalaimidae,154,psittacidae,0.03552281856536865,0.12960416078567505,0.24402785200730526,Side,2
strigidae,576,odontophoridae,0.034903764724731445,0.07328498363494873,0.5169182971810563,Side,2
philepittidae,20,nectariniidae,0.034569740295410156,0.08729642629623413,0.017898210958253107,Side,2
ciconiidae,83,threskiornithidae,0.03394746780395508,0.06610965728759766,0.6559891825516944,Side,2
indicatoridae,90,pycnonotidae,0.0333406925201416,0.0420035719871521,0.45032587521194206,Side,2
momotidae,54,meropidae,0.03291577100753784,0.1595882773399353,0.23307702933811306,Side,2
viduidae,74,sturnidae,0.03235328197479248,0.030148684978485107,0.5857411072221705,Side,2
modulatricidae,13,timaliidae,0.032064080238342285,0.05990755558013916,-0.0,Side,2
